ID,Name,Acronym,YearsListed,dblp_venue,mta_class
1261,International Conference on Very Large Databases,VLDB,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/vldb,6
31,ACM International Conference on Web Search and Data Mining,WSDM,"ERA2010_B, CORE2013_B, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A",conf/wsdm,6
346,Conference in Uncertainty in Artificial Intelligence,UAI,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A, CORE2023_A",conf/uai,3
1037,International Conference on Functional Programming,ICFP,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A, CORE2023_A",conf/icfp,6
18,ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A, CORE2023_A",conf/oopsla,6
408,Data Compression Conference,DCC;Data Compression Conference,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_B, CORE2023_B",conf/dcc,6
546,Foundations of Genetic Algorithms,FOGA,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A, CORE2023_A",conf/foga,3
1078,International Conference on Information Systems,ICIS,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*",conf/icis,6
623,IEEE Information Visualization Conference,IEEE InfoVis;INFOVIS;IEEE Visualization,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*",conf/infovis;conf/visualization,6
1314,International Joint Conference on Automated Reasoning,IJCAR,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A, CORE2023_A",conf/ijcar;conf/cade,3
1420,International Symposium on Symbolic and Algebraic Computation,ISSAC,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A, CORE2023_A",conf/issac,3
708,IEEE International Symposium on Wearable Computers,ISWC,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*",conf/iswc,6
2085,ACM Conference on Digital Libraries,JCDL,"CORE2008_A*, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*",conf/jcdl,
1709,Robotics: Science and Systems,RSS,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*",conf/rss,6
1825,ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*",conf/huc,6
337,Computer Supported Collaborative Learning,CSCL,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_B",conf/cscl,6
787,IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/dsn,6
85,ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG;ID;SID,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_B, CORE2017_B, CORE2018_B, CORE2020_B, CORE2021_B, CORE2023_B",conf/si3d,6
717,IEEE International Workshop on Quality of Service,IWQoS,"CORE2008_A*, ERA2010_B, CORE2013_B, CORE2014_B, CORE2017_B, CORE2018_B, CORE2020_B, CORE2021_B, CORE2023_B",conf/iwqos,6
1171,International Conference on Pervasive Computing (Joined with UbiComp from 2013),PERVASIVE,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*",conf/pervasive,6
448,Empirical Methods in Natural Language Processing,EMNLP;EMNLP/IJCNLP,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A*",conf/emnlp,6
2051,IEEE International Conference on Robotics and Automation,ICRA,"CORE2008_B, CORE2013_B, CORE2014_B, CORE2017_B, CORE2018_B, CORE2020_B, CORE2023_A*",conf/icra,6
2175,ACM International Conference on Systems for Energy-Efficient Built Environments,BuildSys,CORE2018_A,,
2176,Innovations in Theoretical Computer Science,ITCS,"CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/innovations,3
112,American Federation of Information Processing Societies,AFIPS,"ERA2010_C, CORE2018_A",,6
2021,Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,"CORE2008_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_B",conf/esws,6
